State,District,Block,DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,DECCAN PLATU  HOT SEMI-ARID ECO-REGION,EASTERN COASTAL PLAIN  HOT SUBHUMID TO SEMI-ARID EGO-REGION,EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),WESTERN GHATS AND COASTAL PLAIN  HOT HUMID-PERHUMID ECO-REGION
KA,Raichur,Lingsugur,0.0,1569.419592533327,0.0,0.0,43.24238693310857,0.0
KA,Raichur,Manvi,262.6301886603073,551.426054994939,0.0,0.0,0.0,0.0
KA,Raichur,Maski,0.0,1242.584732761836,0.0,0.0,0.0,0.0
KA,Raichur,Raichur,1534.1706547973984,176.36568615927456,0.0,0.0,0.0,0.0
KA,Raichur,Sindhnur,0.0,1238.9725129743197,0.0,0.0,129.0554194730098,0.0
KA,Raichur,Sirwar,83.41958600685156,732.8978212013021,0.0,0.0,0.0,0.0
KA,Ramanagara,Channapatna,0.0,0.0,0.0,569.1679851984203,0.0,0.0
KA,Ramanagara,Kanakapura,0.0,0.0,0.0,1639.7884744090377,0.0,0.0
KA,Ramanagara,Magadi,0.0,0.0,0.0,841.7678857217168,0.0,0.0
KA,Ramanagara,Ramanagara,0.0,0.0,0.0,665.0047890091255,0.0,0.0
KA,Shivamogga,Bhadravati,0.0,0.0,0.0,682.7484602452178,0.0,49.761080832006236
KA,Shivamogga,Hosanagara,0.0,0.0,0.0,0.0,0.0,1520.769163389062
KA,Shivamogga,Sagar,0.0,0.0,0.0,0.0,0.0,2073.1986069623654
KA,Shivamogga,Shikarpur,0.0,35.31555717610469,0.0,739.7923851086503,0.0,201.11495899474835
KA,Shivamogga,Shivamogga,0.0,0.0,0.0,552.7929425290395,0.0,635.0497346181202
KA,Shivamogga,Sorab,0.0,462.50239700286,0.0,117.78265640643647,0.0,652.8583555959103
KA,Shivamogga,Tirthahalli,0.0,0.0,0.0,0.0,0.0,1338.3751718122144
KA,Tumakuru,Chiknayakanhalli,0.0,0.0,0.0,1210.1360089269372,0.0,0.0
KA,Tumakuru,Gubbi,0.0,0.0,0.0,1299.3741864528333,0.0,0.0
KA,Tumakuru,Koratagere,0.0,0.0,0.0,684.2518080014286,0.0,0.0
KA,Tumakuru,Kunigal,0.0,0.0,0.0,1035.993845261476,0.0,0.0
KA,Tumakuru,Madhugiri,0.0,0.0,0.0,1176.0729023226686,10.387718482226177,0.0
KA,Tumakuru,Pavagada,0.0,0.0,0.0,0.0,1458.0766642004148,0.0
KA,Tumakuru,Sira,0.0,0.0,0.0,1653.3670879908955,1.2810446823740407,0.0
KA,Tumakuru,Tiptur,0.0,0.0,0.0,826.7423939467536,0.0,0.0
KA,Tumakuru,Tumakuru,0.0,0.0,0.0,1093.5146026228508,0.0,0.0
KA,Tumakuru,Turuvekere,0.0,0.0,0.0,830.0799242547978,0.0,0.0
KA,Udupi,Bainduru,0.0,0.0,0.0,0.0,0.0,630.0019003843335
KA,Udupi,Brahmavara,0.0,0.0,0.0,0.0,0.0,446.919933091521
KA,Udupi,Hebri,0.0,0.0,0.0,0.0,0.0,455.34848759690374
KA,Udupi,Kapu,0.0,0.0,0.0,0.0,0.0,251.27550926485796
KA,Udupi,Karkal,0.0,0.0,0.0,0.0,0.0,712.9839009434216
KA,Udupi,Kundapura,0.0,0.0,0.0,0.0,0.0,906.8792919334769
KA,Udupi,Udupi,0.0,0.0,0.0,0.0,0.0,344.3110567633855
KA,Uttara Kannada,Ankola,0.0,0.0,0.0,0.0,0.0,981.4309229369233
KA,Uttara Kannada,Bhatkal,0.0,0.0,0.0,0.0,0.0,371.384138467271
KA,Uttara Kannada,Dandeli,0.0,146.5718044782952,0.0,0.0,0.0,113.95309291572882
KA,Uttara Kannada,Haliyal,0.0,646.9971099874051,0.0,0.0,0.0,0.0
KA,Uttara Kannada,Honavar,0.0,0.0,0.0,0.0,0.0,754.5574801903894
KA,Uttara Kannada,Karwar,0.0,0.0,0.0,0.0,0.0,772.6399823254715
KA,Uttara Kannada,Kumta,0.0,0.0,0.0,0.0,0.0,595.2596345289269
KA,Uttara Kannada,Mundgod,0.0,753.8032063916772,0.0,0.0,0.0,0.0
KA,Uttara Kannada,Siddapur,0.0,0.0,0.0,0.0,0.0,953.6734976428339
KA,Uttara Kannada,Sirsi,0.0,311.9650348256574,0.0,0.0,0.0,1119.2939496820118
KA,Uttara Kannada,Supa,0.0,22.178463940483176,0.0,0.0,0.0,1953.3074079195585
KA,Uttara Kannada,Yellapur,0.0,633.0062165803321,0.0,0.0,0.0,815.0138421114419
KA,Vijayapura,Babaleshwar,0.0,0.0,0.0,0.0,885.605870658504,0.0
