State,District,Block,zone_count,zone_label,display_color
KA,Chikkamagaluru,Tarikere,2,"Shared: Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Western Ghats & Coastal Plain (Humid–Perhumid)",#888888
KA,Chitradurga,Challakere,2,"Shared: Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema)",#888888
KA,Chitradurga,Chitradurga,2,"Shared: Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema)",#888888
KA,Chitradurga,Hiriyur,2,"Shared: Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema)",#888888
KA,Chitradurga,Holalkere,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Chitradurga,Hosdurga,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Chitradurga,Molakalmuru,1,Karnataka Plateau (incl. Rayalaseema),#3682ba
KA,Dakshina Kannada,Bantval,1,Western Ghats & Coastal Plain (Humid–Perhumid),#5e4fa2
KA,Dakshina Kannada,Beltangadi,1,Western Ghats & Coastal Plain (Humid–Perhumid),#5e4fa2
KA,Dakshina Kannada,Kadaba,1,Western Ghats & Coastal Plain (Humid–Perhumid),#5e4fa2
KA,Dakshina Kannada,Mangaluru,1,Western Ghats & Coastal Plain (Humid–Perhumid),#5e4fa2
KA,Dakshina Kannada,Moodubidire,1,Western Ghats & Coastal Plain (Humid–Perhumid),#5e4fa2
KA,Dakshina Kannada,Puttur,1,Western Ghats & Coastal Plain (Humid–Perhumid),#5e4fa2
KA,Dakshina Kannada,Sulya,1,Western Ghats & Coastal Plain (Humid–Perhumid),#5e4fa2
KA,Davangere,Channagiri,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Davangere,Davanagere,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Davangere,Harapanahalli,3,"Shared: Deccan Plateau (Semi-Arid) + Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema)",#888888
KA,Davangere,Harihar,2,"Shared: Deccan Plateau (Semi-Arid) + Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#888888
KA,Davangere,Honnali,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Davangere,Jagalur,2,"Shared: Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema)",#888888
KA,Davangere,Nyamathi,2,"Shared: Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Western Ghats & Coastal Plain (Humid–Perhumid)",#888888
KA,Dharwad,Alnavar,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Dharwad,Annigeri,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Dharwad,Dharwad,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Dharwad,Hubballi,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Dharwad,Hubballi Urban,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Dharwad,Kalghatgi,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Dharwad,Kundgol,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Dharwad,Navalgund,1,Deccan Plateau (Semi-Arid),#fa9b58
